Solar_0,Solar_1,Solar_2,Solar_3,Solar_4,Solar_5,Solar_6,Solar_7,Solar_8,Solar_9,Solar_10,Solar_11,Solar_12,Solar_13,Gas_0,Gas_1,Gas_2,Gas_3,Gas_4,Gas_5,Gas_6,Gas_7,Gas_8,Gas_9,Gas_10,Gas_11,Gas_12,Gas_13,Hard Coal_0,Hard Coal_1,Hard Coal_2,Hard Coal_3,Hard Coal_4,Hard Coal_5,Hard Coal_6,Hard Coal_7,Hard Coal_8,Hard Coal_9,Hard Coal_10,Hard Coal_11,Hard Coal_12,Hard Coal_13,Run of River_0,Run of River_1,Run of River_2,Run of River_3,Run of River_4,Run of River_5,Run of River_6,Run of River_7,Run of River_8,Run of River_9,Run of River_10,Run of River_11,Run of River_12,Run of River_13,Waste_0,Waste_1,Waste_2,Waste_3,Waste_4,Waste_5,Waste_6,Waste_7,Waste_8,Waste_9,Waste_10,Waste_11,Waste_12,Waste_13,Brown Coal_0,Brown Coal_1,Brown Coal_2,Brown Coal_3,Brown Coal_4,Brown Coal_5,Brown Coal_6,Brown Coal_7,Brown Coal_8,Brown Coal_9,Brown Coal_10,Brown Coal_11,Brown Coal_12,Brown Coal_13,Geothermal_0,Geothermal_1,Geothermal_2,Geothermal_3,Geothermal_4,Geothermal_5,Geothermal_6,Geothermal_7,Geothermal_8,Geothermal_9,Geothermal_10,Geothermal_11,Geothermal_12,Geothermal_13,Wind Offshore_0,Wind Offshore_1,Wind Offshore_2,Wind Offshore_3,Wind Offshore_4,Wind Offshore_5,Wind Offshore_6,Wind Offshore_7,Wind Offshore_8,Wind Offshore_9,Wind Offshore_10,Wind Offshore_11,Wind Offshore_12,Wind Offshore_13,Wind Onshore_0,Wind Onshore_1,Wind Onshore_2,Wind Onshore_3,Wind Onshore_4,Wind Onshore_5,Wind Onshore_6,Wind Onshore_7,Wind Onshore_8,Wind Onshore_9,Wind Onshore_10,Wind Onshore_11,Wind Onshore_12,Wind Onshore_13,Nuclear_0,Nuclear_1,Nuclear_2,Nuclear_3,Nuclear_4,Nuclear_5,Nuclear_6,Nuclear_7,Nuclear_8,Nuclear_9,Nuclear_10,Nuclear_11,Nuclear_12,Nuclear_13,Oil_0,Oil_1,Oil_2,Oil_3,Oil_4,Oil_5,Oil_6,Oil_7,Oil_8,Oil_9,Oil_10,Oil_11,Oil_12,Oil_13,Other_0,Other_1,Other_2,Other_3,Other_4,Other_5,Other_6,Other_7,Other_8,Other_9,Other_10,Other_11,Other_12,Other_13,Storage Hydro_0,Storage Hydro_1,Storage Hydro_2,Storage Hydro_3,Storage Hydro_4,Storage Hydro_5,Storage Hydro_6,Storage Hydro_7,Storage Hydro_8,Storage Hydro_9,Storage Hydro_10,Storage Hydro_11,Storage Hydro_12,Storage Hydro_13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.7436494841045,4027.9500000000003,687.5,375.5,1702.44,480.49090276200593,432.29999999999995,154.7,2329.7,4246.599999999999,1355.6,1019.9000000000001,318.4,167.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1477.55985736832,201.64797368905468,3123.4435507718754,2.4017448338768173,1526.5832650601135,3.3868773674941823,4081.1175185333086,6225.5281416071975,0.03064363936513998,1.097972197714393,582.0332656590551,93.79630981365776,0.438778816559492,3639.7656952202296,2537.823892515801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.396729492748,3237.3500000000004,687.5,0.0,1702.44,0.0,0.0,154.7,2329.7,4246.599999999999,1355.6,1019.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1477.9056477541699,269.3956044051859,3726.602469067855,2.541035802413388,1895.7295036156358,11.935420710390513,4583.507308225844,6324.308014654542,2.6791638383737567e-6,2.556340554421084,802.431085441041,148.0756383766021,0.7557422621756473,3683.2853198413704,2778.6041764506676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.6,687.5,0.0,1702.44,0.0,409.79999999999995,154.7,2329.7,4220.599999999999,1355.6,763.1080379334751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1477.93984413124,293.5716627293377,3942.60399556039,2.0904822592704786,2142.0722623655256,20.822250339055795,4703.4652734080555,6350.4746448927945,0.004316513026572197,6.895125950859969,989.2164655366291,190.43771601966068,1.1905188154590696,3695.461336634223,2865.4461062502514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,687.5,0.0,1702.44,0.0,432.29999999999995,154.7,2329.7,3855.8,1355.6,91.89673052537779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1477.94554471949,295.12738113679677,4125.559990606516,2.321424951802812,2303.397831477934,22.02171297652761,4826.398381889496,6290.678105766,0.006745913360308479,7.214481292519404,1040.8992459767794,190.68617327864342,1.684644895292052,3704.855942147492,2898.245701794079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,1702.44,0.0,0.0,154.7,1789.1999999999998,2326.3,1355.6,605.0410233307371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1477.5495290752401,310.3722931481212,4341.2636614754565,3.093116603095269,2443.188489332259,32.67198051540406,4914.422870963372,6164.533572682523,0.004254323055412954,8.503570154657845,1056.405122160652,205.63116532500655,2.6907342858471917,3707.1139459819024,2840.034709987233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,1702.44,0.0,0.0,154.7,504.2392347721149,1210.2364095596893,1355.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1467.69696712506,342.9614627085854,4466.213538542977,3.2548251733016937,2523.5692328448013,48.68119166789976,4964.393261819151,6024.542122980235,0.0,11.272214525306628,1069.5021890389585,225.748819086253,8.048763820750642,3703.869372021648,2428.9104336549353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,1702.44,0.0,0.0,154.7,530.3980573492909,1767.9863042215682,1355.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1458.6403703686378,277.7299477704474,4776.193034891563,7.807739439291897,2371.78642756012,90.39280654577193,4974.169971416851,5895.360273727203,1.07387233708201e-5,20.869876535878745,844.6011567884982,299.09832536652215,19.695816618170603,3650.1879052942472,2041.742014700668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,1702.44,0.0,0.0,154.7,553.7551495492719,1926.0930967441252,1299.2556508598946,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1457.94371128052,380.2907959406649,4981.347502159017,11.101929052513023,2448.224277386136,128.270222837811,5001.11235798037,5974.54410255384,5.86835755306493e-6,29.432623519569056,1027.8609864377904,426.2072529525086,40.35941146273541,3667.042803885528,1722.6981588632511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
0.0,20.69460990935082,1713.6345842138367,0.0,1.7396595466450488,74.703906191307,0.0,58.20857180815318,1513.7215540955551,0.0,228.10332045768337,0.0,0.0,0.0,0.0,0.0,687.5,0.0,1445.2890449953522,0.0,0.0,154.7,227.0,2358.5184414114146,156.9690505187951,606.0094042621851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1461.0786914824998,433.3178672451281,4831.406770496064,13.441354390821411,2304.1318532309924,163.96060694968665,4946.940244089979,5915.907500788571,0.0003496782485591999,38.38205442282357,1060.9311093225783,531.3245550957403,91.12720688164886,3654.797542736285,1550.0801851210838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
67.191982423001,478.13407491016187,2321.689225399183,60.33725764622056,744.6110928942443,132.9038864577579,1196.5701377598893,307.9450581986659,1696.084906283053,46.62018558429176,473.86094725263695,200.34952584986019,644.878538454736,277.79750817020573,649.5128547644948,0.0,687.5,0.0,1702.44,0.0,0.0,154.7,371.46111818860277,22.0,0.0,1019.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2999989986444,1455.96628665949,431.53000808781167,4460.535161533597,15.569459376652672,2147.9989023753024,193.73715805630093,4805.139795200299,5769.6166579407745,0.0008872147300806199,39.90913176451131,955.7092755314053,567.2234368382765,107.24446444230026,3581.42040803699,1514.250706036491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
93.78582581558419,361.04765447476734,2598.7397394566383,123.07796826178911,936.809588298034,169.9568997085516,1353.803810487346,342.9314740542929,1851.156594794947,71.00266549821198,484.71058709824354,253.30271640996475,807.8999158037651,499.29134396059004,0.0,0.0,687.5,0.0,1436.64,0.0,0.0,154.7,2269.8,3264.414618281177,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.4,164.5,910.4000000000001,23.5,150.2,31.7,374.8,265.9,1091.0,379.5,89.0,203.3,48.0,9.9,400.00000000000006,239.8,21.0,85.9,261.0,178.6,40.4,13.6,141.0,27.2,74.3,55.1,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447.19996166222,0.0,0.0,0.0,0.0,0.0,48.2915875911735,1452.445933819002,436.36285348412736,4018.4901798217097,16.752301087761385,1917.640531652295,224.02463762338598,4618.791325360419,5622.88131936975,0.000675696171757207,41.24667886509741,843.8861754405507,605.1499423805448,130.94672717620702,3471.6458747584693,1493.2718918080848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,82.5,169.5,99.0,0.0,0.0,158.0,0.0,500.0,15.0,0.0,0.0,0.0,392.0
