name,bus_id,active_power,max_active_power,max_reactive_power
Load_0,0,7208.304766664407,7208.304766664407,7208.304766664407
Load_1,1,2770.4943873889497,2770.4943873889497,2770.4943873889497
Load_2,2,2958.488930076845,2958.488930076845,2958.488930076845
Load_3,3,4112.848312183502,4112.848312183502,4112.848312183502
Load_4,4,9532.202989416002,9532.202989416002,9532.202989416002
Load_5,5,3959.0590724737012,3959.0590724737012,3959.0590724737012
Load_6,6,3818.8940810642007,3818.8940810642007,3818.8940810642007
Load_7,7,1664.573036238592,1664.573036238592,1664.573036238592
Load_8,8,4886.3363210848,4886.3363210848,4886.3363210848
Load_9,9,3890.5530387416998,3890.5530387416998,3890.5530387416998
Load_10,10,2779.1632820614,2779.1632820614,2779.1632820614
Load_11,11,1812.8038481980777,1812.8038481980777,1812.8038481980777
Load_12,12,720.6539052696999,720.6539052696999,720.6539052696999
Load_13,13,1639.7040291386897,1639.7040291386897,1639.7040291386897